genre,artist,songs,Mil. Streams,Year
2-Step,Naughty Boy,La La La,636,2013
2-Step,PinkPantheress,Pain,644,2021
2-Step,Jung Kook,Seven,1577,2023
Afropiano,Doja Cat,Woman,1603,2021
Afropiano,Tyla,Water,692,2023
Balearic Beat,Burak Yeter,Tuesday,600,2016
Baltimore Club,PinkPantheress,Boys A Liar Pt. 2,867,2023
Big Room House,Martin Garrix,Animals,635,2013
Big Room House,Calvin Harris,I Need Your Love,504,2013
Big Room House,David Guetta,Bad,611,2014
Big Room House,Timmy Trumpet,Freaks,537,2014
Big Room House,BLACKPINK,BOOMBAYAH,543,2016
Big Room Trance,Armin van Buuren,Blah Blah Blah,509,2018
Big Room Trance,Gabry Ponte,Thunder,536,2021
Brazilian Bass,Alok,Hear Me Now,760,2016
Brazilian Bass,Selena Gomez,Kill Em With Kindness,553,2016
Brazilian Phonk,S3BZ,MONTAGEM - PR FUNK,410,2023
Breakstep,Naughty Boy,La La La,636,2013
Bubblegum Dance,Aqua,Barbie Girl,518,1997
Bubblegum Dance,Vengaboys,"Boom, Boom, Boom, Boom!!",420,
Chillstep,Hippie Sabotage,Habits (Stay High),612,2014
Complextro,Skrillex,Bangarang,479,2011
Deep House,Drake,Take Care,635,2013
Deep House,Krono,Dancin,1193,2014
Deep House,Robin Schulz,Waves,988,2014
Deep House,Robin Schulz,Sugar,1203,2015
Deep House,Deepend,Catch & Release,487,2015
Deep House,Drake,Passionfruit,1642,2017
Deep House,Shouse,Love Tonight,547,2017
Deep House,Regard,Ride It,1331,2019
Deep House,PNAU,Cold Heart,1974,2021
Deep House,Route 94,My Love,412,
Deep House,Tinlicker,Because You Move Me,404,
Deep Tech,Disclosure,Latch,1001,2012
Diva House,Clean Bandit,Rather Be,1309,2014
Diva House,Silk City,Electricity,614,2018
Diva House,Lady Gaga,Rain On Me,1051,2020
Diva House,Galantis,Heartbreak Anthem,479,2021
Diva House,Becky Hill,Remember,445,2021
Diva House,Ariana Grande,yes and?,400,2024
Diva House,Beyoncé,BREAK MY SOUL,432,
Diva House,Gala,Freed From Desire,411,
Drum & Bass,Linkin Park,Breaking The Habit,414,2004
Dubstep,Two Feet,Go Fuck Yourself,644,2016
Electro House,David Guetta,Sexy Bitch,921,2009
Electro House,David Guetta,When Love Takes Over,490,2009
Electro House,Rihanna,Only Girl (In The World),1133,2010
Electro House,USHER,DJ Got Us Fallin' In Love,877,2010
Electro House,David Guetta,Memories,967,2010
Electro House,Stromae,Alors On Danse,698,2010
Electro House,Flo Rida,Club Can't Handle Me,582,2010
Electro House,Rihanna,We Found Love,1720,2011
Electro House,David Guetta,Titanium,1674,2011
Electro House,Rihanna,S&M,1075,2011
Electro House,Jennifer Lopez,On The Floor,1064,2011
Electro House,Calvin Harris,Feel So Close,1055,2011
Electro House,LMFAO,Party Rock Anthem,735,2011
Electro House,Rihanna,Where Have You Been,716,2011
Electro House,Lady Gaga,Born This Way,625,2011
Electro House,David Guetta,Where Them Girls At,605,2011
Electro House,LMFAO,Sexy And I Know It,444,2011
Electro House,Ke$ha,Die Young,727,2012
Electro House,will.i.am,Scream & Shout,784,2012
Electro House,Zedd,Beauty And A Beat,868,2012
Electro House,Steve Aoki,Pursuit Of Happiness,619,2012
Electro House,David Guetta,Play Hard,567,2012
Electro House,Calvin Harris,Sweet Nothing,526,2012
Electro House,Pitbull,Feel This Moment,714,2013
Electro House,Zedd,Clarity,579,2013
Electro House,Calvin Harris,Under Control,567,2013
Electro House,Calvin Harris,I Need Your Love,504,2013
Electro House,Calvin Harris,Summer,1556,2014
